Quote_Code,Rate
USDAED,3.672503
USDAFN,63.000114
USDALL,81.346495
USDAMD,372.58993
USDANG,1.789884
USDAOA,918.000157
USDARS,1374.744199
USDAUD,1.396804
USDAWG,1.8025
USDAZN,1.696439
USDBAM,1.665092
USDBBD,2.016704
USDBDT,122.859892
USDBGN,1.668102
USDBHD,0.377179
USDBIF,2977.464477
USDBMD,1
USDBND,1.27321
USDBOB,6.909275
USDBRL,5.010599
USDBSD,1.001273
USDBTC,0.000012909281
USDBTN,93.441815
USDBWP,13.424202
USDBYN,2.84014
USDBYR,19600
USDBZD,2.013809
USDCAD,1.36563
USDCDF,2314.000173
USDCHF,0.780899
USDCLF,0.022701
USDCLP,893.460387
USDCNY,6.82165
USDCNH,6.824505
USDCOP,3587.11
USDCRC,455.478082
USDCUC,1
USDCUP,26.5
USDCVE,94.37504
USDCZK,20.7322
USDDJF,178.298236
USDDKK,6.36536
USDDOP,60.259325
USDDZD,132.166626
USDEGP,51.749502
USDERN,15
USDETB,156.343304
USDEUR,0.851749
USDFJD,2.196897
USDFKP,0.738541
USDGBP,0.740255
USDGEL,2.6901
USDGGP,0.738541
USDGHS,11.06503
USDGIP,0.738541
USDGMD,73.501257
USDGNF,8787.747214
USDGTQ,7.642115
USDGYD,209.191112
USDHKD,7.83132
USDHNL,26.60429
USDHRK,6.418963
USDHTG,131.118092
USDHUF,309.883503
USDIDR,17182
USDILS,3.003299
USDIMP,0.738541
USDINR,93.845501
USDIQD,1311.691739
USDIRR,1320999.99988
USDISK,122.479768
USDJEP,0.738541
USDJMD,158.617725
USDJOD,0.708969
USDJPY,159.329986
USDKES,129.259855
USDKGS,87.448502
USDKHR,4003.098954
USDKMF,419.999676
USDKPW,899.985395
USDKRW,1478.345032
USDKWD,0.30793
USDKYD,0.834419
USDKZT,464.928188
USDLAK,22091.112644
USDLBP,89517.169163
USDLKR,316.95315
USDLRD,184.275022
USDLSL,16.383163
USDLTL,2.95274
USDLVL,0.60489
USDLYD,6.339152
USDMAD,9.254503
USDMDL,17.22218
USDMGA,4145.258578
USDMKD,52.497562
USDMMK,2099.934769
USDMNT,3577.136566
USDMOP,8.07635
USDMRU,39.721946
USDMUR,46.530269
USDMVR,15.459949
USDMWK,1736.258029
USDMXN,17.31567
USDMYR,3.954008
USDMZN,63.898196
USDNAD,16.383163
USDNGN,1348.769854
USDNIO,36.8469
USDNOK,9.332925
USDNPR,149.716923
USDNZD,1.693265
USDOMR,0.384502
USDPAB,0.999877
USDPEN,3.439243
USDPGK,4.342792
USDPHP,60.146975
USDPKR,279.179895
USDPLN,3.60695
USDPYG,6367.246862
USDQAR,3.645505
USDRON,4.341094
USDRSD,100.011957
USDRUB,75.125635
USDRWF,1463.142615
USDSAR,3.750442
USDSBD,8.038772
USDSCR,14.891605
USDSDG,599.999785
USDSEK,9.17815
USDSGD,1.273335
USDSHP,0.746601
USDSLE,24.609608
USDSLL,20969.496166
USDSOS,572.197225
USDSRD,37.472502
USDSTD,20697.981008
USDSTN,20.858342
USDSVC,8.761355
USDSYP,110.541984
USDSZL,16.388628
USDTHB,32.169832
USDTJS,9.398807
USDTMT,3.505
USDTND,2.866502
USDTOP,2.40776
USDTRY,44.920075
USDTTD,6.789603
USDTWD,31.481803
USDTZS,2615.000217
USDUAH,44.173949
USDUGX,3704.160273
USDUYU,39.753623
USDUZS,12075.703011
USDVES,481.046775
USDVND,26320.5
USDVUV,118.060694
USDWST,2.715967
USDXAF,558.453765
USDXAG,0.012818
USDXAU,0.00021
USDXCD,2.70255
USDXCG,1.804545
USDXDR,0.694537
USDXOF,558.449011
USDXPF,101.533301
USDYER,238.625011
USDZAR,16.490165
USDZMK,9001.197916
USDZMW,19.0492
USDZWL,321.999592
